HEADER	MICROS	MILLIS	LEFTDIR	LEFTDC	RIGHTDIR	RIGHTDC	LEFTPOS	RIGHTPOS	AMB_COL_NE	AMB_COL_SE	AMB_COL_SW	AMB_COL_NW	AMB_LINE_N	AMB_LINE_E	AMB_LINE_S	AMB_LINE_W	IR_COL_NE	IR_COL_SE	IR_COL_SW	IR_COL_NW	IR_LINE_N	IR_LINE_E	IR_LINE_S	IR_LINE_W	TRAILER	
1526703360	78562156	78561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	328	439	684	1509991935	
1526703360	78573612	78573	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	329	440	685	1509991935	
1526703360	78583988	78583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	378	329	440	685	1509991935	
1526703360	78592276	78592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	329	440	686	1509991935	
1526703360	78602644	78602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	329	440	685	1509991935	
1526703360	78613020	78612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	330	440	684	1509991935	
1526703360	78623396	78622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	329	440	685	1509991935	
1526703360	78633764	78632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	329	440	685	1509991935	
1526703360	78644132	78643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	329	440	685	1509991935	
1526703360	78652412	78652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	329	440	685	1509991935	
1526703360	78662804	78662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	329	440	685	1509991935	
1526703360	78673172	78672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	329	440	685	1509991935	
1526703360	78683540	78683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	329	440	685	1509991935	
1526703360	78693916	78693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	398	330	440	685	1509991935	
1526703360	78702220	78701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	329	440	685	1509991935	
1526703360	78712636	78711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	379	328	439	684	1509991935	
