HEADER	MICROS	MILLIS	LEFTDIR	LEFTDC	RIGHTDIR	RIGHTDC	LEFTPOS	RIGHTPOS	AMB_COL_NE	AMB_COL_SE	AMB_COL_SW	AMB_COL_NW	AMB_LINE_N	AMB_LINE_E	AMB_LINE_S	AMB_LINE_W	IR_COL_NE	IR_COL_SE	IR_COL_SW	IR_COL_NW	IR_LINE_N	IR_LINE_E	IR_LINE_S	IR_LINE_W	TRAILER	S_inRaw_N	S_inRaw_E	S_inRaw_S	S_inRaw_W	S_inAfterGO_N	S_inAfterGO_E	S_inAfterGO_S	S_inAfterGO_W	S_inFiltered_N	S_inFiltered_E	S_inFiltered_S	S_inFiltered_W	A_inL	A_inR	A_outPwmL	A_outPwmR	C_PID_in	C_PID_p	C_PID_i	C_PID_d	C_PID_out	C_outError	C_outRaw	C_outNormalized	
1526703360	64150604	64150	0	25	0	25	9	12	0	0	0	0	0	0	0	0	0	0	0	0	238	573	340	201	1509991935	238	570	340	203	0.198832	0.632348	0.177018	-0.010236	-nan	0.488244102012	0.141139498066	0.000144360215072	-0	0	25	25	0.488099741797	0.732149612696	0	0	0.732149612696	0.488099741797	0.732149612696	0	
1526703360	64162012	64161	0	25	0	25	10	13	0	0	0	0	0	0	0	0	0	0	0	0	237	576	337	200	1509991935	238	573	340	201	0.198832	0.636545	0.177018	-0.011942	-nan	0.505249473226	0.145995583263	1.77867544907e-05	-0	0	25	25	0.505231686472	0.757847529708	0	0	0.757847529708	0.505231686472	0.757847529708	0	
1526703360	64171340	64171	0	25	0	25	10	13	0	0	0	0	0	0	0	0	0	0	0	0	237	580	336	198	1509991935	237	576	337	200	0.19737	0.640742	0.17376	-0.012795	-nan	0.521226587003	0.150497412642	-0.000190749744542	-0	0	25	25	0.521417336747	0.782126005121	0	0	0.782126005121	0.521417336747	0.782126005121	0	
1526703360	64180676	64180	0	25	0	25	11	14	0	0	0	0	0	0	0	0	0	0	0	0	238	584	336	197	1509991935	237	580	336	198	0.19737	0.646338	0.172674	-0.014501	-nan	0.536208669453	0.154635922171	-0.000479934516286	-0	0	25	25	0.536688603969	0.805032905954	0	0	0.805032905954	0.536688603969	0.805032905954	0	
1526703360	64192108	64191	0	25	0	25	12	15	0	0	0	0	0	0	0	0	0	0	0	0	238	587	335	197	1509991935	238	584	336	197	0.198832	0.651934	0.172674	-0.015354	-nan	0.550238900442	0.158410720585	-0.000847945785688	-0	0	25	25	0.551086846227	0.826630269341	0	0	0.826630269341	0.551086846227	0.826630269341	0	
1526703360	64201444	64200	0	25	0	25	12	15	0	0	0	0	0	0	0	0	0	0	0	0	239	589	335	196	1509991935	238	587	335	197	0.198832	0.656131	0.171588	-0.015354	-nan	0.563362990823	0.161831270008	-0.00128898386224	-0	0	25	25	0.564651974685	0.846977962027	0	0	0.846977962027	0.564651974685	0.846977962027	0	
1526703360	64210780	64209	0	25	0	25	12	16	0	0	0	0	0	0	0	0	0	0	0	0	241	589	337	195	1509991935	239	589	335	196	0.200294	0.658929	0.171588	-0.016207	-nan	0.575619754143	0.164908799246	-0.00179381579749	-0	0	25	25	0.577413569941	0.866120354911	0	0	0.866120354911	0.577413569941	0.866120354911	0	
1526703360	64222188	64221	0	25	0	25	13	17	0	0	0	0	0	0	0	0	0	0	0	0	240	589	342	194	1509991935	241	589	337	195	0.203218	0.658929	0.17376	-0.01706	-nan	0.587035822912	0.167662768277	-0.00235560472421	-0	0	25	25	0.589391427637	0.884087141455	0	0	0.884087141455	0.589391427637	0.884087141455	0	
1526703360	64231532	64231	0	25	0	25	14	17	0	0	0	0	0	0	0	0	0	0	0	0	238	589	345	193	1509991935	240	589	342	194	0.201756	0.658929	0.17919	-0.017913	-nan	0.59762694723	0.170130976723	-0.00296966781745	-0	0	25	25	0.600596615047	0.900894922571	0	0	0.900894922571	0.600596615047	0.900894922571	0	
1526703360	64240868	64240	0	25	0	25	14	18	0	0	1	0	0	0	0	0	0	0	0	4	238	590	345	191	1509991935	238	589	345	193	0.198832	0.658929	0.182448	-0.018766	-nan	0.60740795376	0.172362441584	-0.00363147170095	-0	0	25	25	0.611039425461	0.916559138191	0	0	0.916559138191	0.611039425461	0.916559138191	0	
